eventID,occurrenceID,scientificName,scientificNameID,scientificNameAuthorship,taxonomicStatus,taxonRank,vernacularName,individualCount,kingdom,phylum,class,order,family,genus,specificEpithet,dateIdentified,identifiedBy,basisOfRecord,occurrenceStatus
IYS2022-002-013,IYS2022-002-013-RAB,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,Euphausiids,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,2022-02-22T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-025,IYS2022-002-025-RAB,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,Euphausiids,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,2022-02-24T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-059,IYS2022-002-059-RAB,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,Euphausiids,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,2022-03-01T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-069,IYS2022-002-069-RAB,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,Euphausiids,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,2022-03-03T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-085,IYS2022-002-085-RAB,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,Euphausiids,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,2022-03-05T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-093,IYS2022-002-093-RAB,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,Euphausiids,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,2022-03-06T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-097,IYS2022-002-097-RAB,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,Euphausiids,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,2022-03-10T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-106,IYS2022-002-106-RAB,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,Euphausiids,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,2022-03-11T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-118,IYS2022-002-118-RAB,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,Euphausiids,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,2022-03-12T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-134,IYS2022-002-134-RAB,Euphausiacea,urn:lsid:marinespecies.org:taxname:1128,"Dana, 1852",accepted,Order,Euphausiids,NA,Animalia,Arthropoda,Malacostraca,Euphausiacea,NA,NA,NA,2022-03-15T00:00:00Z,Erika Anderson,HumanObservation,present
IYS2022-002-013,IYS2022-002-013-198,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,Northern Lampfish,350,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,2022-02-22T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-025,IYS2022-002-025-198,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,Northern Lampfish,185,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,2022-02-24T00:00:00Z,Tyler Zubkowski,HumanObservation,present
IYS2022-002-037,IYS2022-002-037-198,Stenobrachius leucopsarus,urn:lsid:marinespecies.org:taxname:254363,"(Eigenmann & Eigenmann, 1890)",accepted,Species,Northern Lampfish,92,Animalia,Chordata,Actinopteri,Myctophiformes,Myctophidae,Stenobrachius,leucopsarus,2022-02-26T00:00:00Z,Tyler Zubkowski,HumanObservation,present
